trackers,5610798785611043,25.8971,16.7739
trackers,20067567209850,35.6965,34.5596
trackers,20067567209850,38.0911,36.9284
delicious,56892252403,69.1127,68.197
wiki-en,2036443879822,43.567,42.5495
livejournal,3297158439527,37.6424,36.7376
twitter,206508691,0.21434,0.195665
orkut,22131701213295,372.031,369.511
orkut,4559467,0.0669259,0.0619365
orkut,66854894,0.0814924,0.0765894
orkut,0,0.0502862,0.045447
orkut,0,0.0464185,0.0414773
orkut,0,7.31787,4.95443
orkut,0,0.171007,0.152459
orkut,0,0.0470468,0.0421327
orkut,0,10.2711,9.16557
orkut,0,15.6341,11.2079
orkut,0,0.0148099,0.0139853
orkut,0,0.0415438,0.036722
orkut,0,0.0510352,0.046134
orkut,0,0.00979992,0.00487646
orkut,0,0.0229963,0.0180839
orkut,0,0.0447142,0.0398082
orkut,0,0.0411502,0.0363192
orkut,0,0.00958431,0.00475343
orkut,0,1.17896,1.17412
orkut,0,1.01492,1.01009
orkut,0,0.00953812,0.00475485
orkut,0,0.00960285,0.00478758
